CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41241627,MCDONALD'S,BRONX,1749,UNIVERSITY AVENUE,10453,7182941309,American,4/2/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,A,4/2/2018,4/2/2019,Cycle Inspection / Initial Inspection
41174643,ELSA LA REINA DEL CHICHARRON 3,BRONX,1A,EAST  183 STREET,10453,7182957383,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/7/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,15,,,4/2/2019,Cycle Inspection / Initial Inspection
50016922,MB RESTAURANT,BRONX,2771,WEBSTER AVE,10458,7185643825,African,8/1/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,33,,,4/2/2019,Cycle Inspection / Initial Inspection
41300979,HONEY'S THAI PAVILION,BRONX,3036,WESTCHESTER AVENUE,10461,3476571750,Thai,11/27/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,24,B,11/27/2018,4/2/2019,Cycle Inspection / Re-inspection
50076007,BLUE POINT BLEACHERS BAR 237,BRONX,1,E 161ST ST,10451,9172843260,American,8/16/2018,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,10,A,8/16/2018,4/2/2019,Pre-permit (Operational) / Initial Inspection
41074629,DOMINO'S,BRONX,921,EAST TREMONT AVENUE,10460,7185424993,Pizza,10/10/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,28,C,10/10/2017,4/2/2019,Cycle Inspection / Re-inspection
50043792,RUNNING COOL RESTAURANT,BRONX,2263,JEROME AVE,10453,7185626648,Caribbean,12/11/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,11,A,12/11/2018,4/2/2019,Cycle Inspection / Initial Inspection
50074588,EL VALLE RESTAURANT,BRONX,3535,JEROME AVE,10467,3479419344,Spanish,7/12/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,30,C,7/12/2018,4/2/2019,Pre-permit (Operational) / Re-inspection
41385362,MCDONALD'S,BRONX,2630,JEROME AVENUE,10468,7182201982,Hamburgers,5/26/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,,,4/2/2019,Cycle Inspection / Initial Inspection
41659018,BAR & RESTAURANT EL SALVADORENO,BRONX,451455,MORRIS PK AVE,,3478794891,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/3/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,17,B,10/3/2018,4/2/2019,Cycle Inspection / Re-inspection
40754765,MORRIS PARK PIZZA,BRONX,656,MORRIS PARK AVENUE,10462,7189319191,Pizza,1/29/2018,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,13,A,1/29/2018,4/2/2019,Cycle Inspection / Initial Inspection
40369641,JOHNNY'S REEF RESTAURANT,BRONX,2,CITY ISLAND AVE,10464,7188852086,Seafood,8/3/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,17,,,4/2/2019,Cycle Inspection / Initial Inspection
50042128,THE BRONX BEER HALL,BRONX,2344,ARTHUR AVE,10458,3473960555,Italian,12/1/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,21,B,12/1/2015,4/2/2019,Pre-permit (Operational) / Re-inspection
50010284,KAIETEUR RESTAURANT,BRONX,4379,WHITE PLAINS RD,10466,7182318700,Caribbean,3/28/2016,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,,,4/2/2019,Cycle Inspection / Initial Inspection
40549885,MONTEZUMA RESTAURANT,BRONX,119,WEST KINGSBRIDGE ROAD,10468,7186016400,Mexican,2/7/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,2/7/2018,4/2/2019,Cycle Inspection / Initial Inspection
41668846,FRUIT AND VEGETABLES ANAYELYS BOUTIQUE,BRONX,613,CRESCENT AVENUE,10458,3475975322,Spanish,1/24/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,7,,,4/2/2019,Cycle Inspection / Initial Inspection
50051354,EL VALLE,BRONX,733A,E TREMONT AVE,10457,7182994900,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/19/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,9,A,10/19/2017,4/2/2019,Cycle Inspection / Re-inspection
50048905,BRONX DRAFTHOUSE,BRONX,884,GERARD AVE,10452,9292659759,American,2/21/2019,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,2/21/2019,4/2/2019,Cycle Inspection / Initial Inspection
50046462,GENERAL TSO'S CHINESE RESTAURANT,BRONX,1215,WHITE PLAINS RD,10472,7182398888,Chinese,2/27/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,44,,,4/2/2019,Pre-permit (Operational) / Initial Inspection
41678706,TITOS EMPANADAS Y MAS,BRONX,1221,JEROME AVENUE,10452,9178193056,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/25/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,26,B,6/25/2018,4/2/2019,Cycle Inspection / Re-inspection
50059380,O & O PIZZA,BRONX,1448,EAST AVE,10462,7189313822,Pizza,4/6/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,46,C,4/6/2017,4/2/2019,Pre-permit (Operational) / Re-inspection
41534382,THE SUNY MARITIME U. VANDERCLUTE,BRONX,6,PENNYFIELD AVE,10465,7184095092,American,3/24/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,3/24/2016,4/2/2019,Cycle Inspection / Initial Inspection
41174643,ELSA LA REINA DEL CHICHARRON 3,BRONX,1A,EAST  183 STREET,10453,7182957383,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/10/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,24,,,4/2/2019,Cycle Inspection / Initial Inspection
41643816,ROCCO'S BRICK OVEN PIZZERIA,BRONX,79-16,21 AVENUE,,7187213535,Pizza,6/14/2018,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,13,A,6/14/2018,4/2/2019,Cycle Inspection / Initial Inspection
50047161,KENNEDY FRIED CHICKEN & PIZZA,BRONX,2843,GRAND CONCOURSE,10468,7184503959,American,2/21/2017,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,5,,,4/2/2019,Cycle Inspection / Initial Inspection
50033067,FIVE GUYS FAMOUS BURGERS AND FRIES,BRONX,815,HUTCHINSON RIVER PKWY,10465,9293246301,American,5/12/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,5/12/2016,4/2/2019,Cycle Inspection / Initial Inspection
50018501,SABOR LATINO RESTAURANT CUCHIFRITO,BRONX,1017,WESTCHESTER AVE,10459,3475770619,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/8/2019,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,59,,,4/2/2019,Cycle Inspection / Initial Inspection
40557901,LA ISLA CUCHIFRITOS,BRONX,15221524,WESTCHESTER AVENUE,,7188937591,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/8/2019,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Ã‚Âº F.,Critical,24,,,4/2/2019,Cycle Inspection / Initial Inspection
41491272,AZUL TEQUILA MEXICAN RESTAURANT,BRONX,783,LYDING AVE,,7182390711,Mexican,12/13/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,19,,,4/2/2019,Cycle Inspection / Re-inspection
41561032,DOMINO'S,BRONX,3025,3 AVENUE,10455,7184013800,Pizza,5/9/2018,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,12,A,5/9/2018,4/2/2019,Cycle Inspection / Initial Inspection
41610874,DUNKIN' DONUTS,BRONX,3080,BOSTON ROAD,10469,7182317766,CafÃƒÂ©/Coffee/Tea,1/25/2019,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A,1/25/2019,4/2/2019,Cycle Inspection / Initial Inspection
50069772,BELLA PIZZA,BRONX,19,W FORDHAM RD,10468,7188727206,Pizza,9/20/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23,,,4/2/2019,Cycle Inspection / Initial Inspection
41701298,CHINESE GOURMET,BRONX,1810,CEDAR AVENUE,10453,7187312120,Chinese,4/11/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,10,A,4/11/2017,4/2/2019,Cycle Inspection / Initial Inspection
50032749,JERRY'S COFFEE SHOP,BRONX,970,LONGWOOD AVE,10459,7188238073,Sandwiches,5/17/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,23,,,4/2/2019,Cycle Inspection / Initial Inspection
41291746,CARIBE RESTAURANT,BRONX,2,EAST GUN HILL ROAD,10467,7183245300,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/7/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,10,A,9/7/2016,4/2/2019,Cycle Inspection / Initial Inspection
50045596,NEW CHINA,BRONX,5690,MOSHOLU AVE,10471,7188841111,Chinese,9/7/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,9/7/2016,4/2/2019,Cycle Inspection / Re-inspection
50085349,DON CHILE MEXICAN GRILL,BRONX,801,SOUTHERN BLVD,10459,7185766462,Mexican,2/20/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,,,4/2/2019,Pre-permit (Non-operational) / Re-inspection
41291746,CARIBE RESTAURANT,BRONX,2,EAST GUN HILL ROAD,10467,7183245300,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/7/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,15,,,4/2/2019,Cycle Inspection / Initial Inspection
41336841,#1 SABOR LATINO RESTAURANT,BRONX,4120,WHITE PLAINS ROAD,10466,7186532222,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/6/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,49,,,4/2/2019,Cycle Inspection / Initial Inspection
40927513,ISLA OF VERDE CAFE,BRONX,1859,WESTCHESTER AVENUE,10472,7188281200,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/31/2016,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,24,,,4/2/2019,Cycle Inspection / Initial Inspection
41545589,ADDEO'S RIVERDALE PIZZERIA,BRONX,5654,RIVERDALE AVENUE,10471,7185494750,Pizza/Italian,11/1/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,50,,,4/2/2019,Cycle Inspection / Initial Inspection
41707148,KENNEDY FRIED CHICKEN,BRONX,2273,CROTONA AVENUE,10457,7183656094,Chicken,4/18/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,4/18/2018,4/2/2019,Cycle Inspection / Initial Inspection
50013830,CAPRI IV DELI,BRONX,2073,BARTOW AVE,10475,7183203979,Delicatessen,10/16/2017,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,10/16/2017,4/2/2019,Cycle Inspection / Re-inspection
40366497,THE PUNCH BOWL,BRONX,5820,BROADWAY,10463,7188847322,American,6/27/2018,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22,B,6/27/2018,4/2/2019,Cycle Inspection / Re-inspection
50073545,PORTOFINO CAFE,BRONX,2008,WILLIAMSBRIDGE RD,10461,6462660713,"Bottled beverages, including water, sodas, juices, etc.",2/27/2018,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,24,,,4/2/2019,Pre-permit (Operational) / Initial Inspection
41368569,TITA'S DONUTS AND COFFEE SHOP,BRONX,1930,GRAND CONCOURSE,10457,7189018425,Bakery,10/19/2016,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,20,,,4/2/2019,Cycle Inspection / Initial Inspection
50081961,EL POLVORIN BAKERY AND CAFE,BRONX,807,HUNTS POINT AVE,10474,3478627774,American,10/25/2018,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,79,,,4/2/2019,Pre-permit (Operational) / Initial Inspection
41250498,NO. 1 CHINESE RESTAURANT,BRONX,7,WEST TREMONT AVENUE,10453,7182945294,Chinese,8/30/2018,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12,A,8/30/2018,4/2/2019,Cycle Inspection / Initial Inspection
50066913,RESTAURANT DELICES DES SAVEURS,BRONX,624,MORRIS AVE,10451,3475900333,African,10/11/2017,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,30,,,4/2/2019,Pre-permit (Operational) / Initial Inspection
41647862,KING BARKA JAMAICAN & AMERICAN RESTAURANT,BRONX,3377,BOSTON RD,10469,3477899660,Caribbean,1/20/2016,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,6,A,1/20/2016,4/2/2019,Cycle Inspection / Re-inspection
50074588,EL VALLE RESTAURANT,BRONX,3535,JEROME AVE,10467,3479419344,Spanish,7/12/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,30,C,7/12/2018,4/2/2019,Pre-permit (Operational) / Re-inspection
40366938,LULU'S COFFEE SHOP,BRONX,1191,CASTLE HILL AVENUE,10462,7188223568,CafÃƒÂ©/Coffee/Tea,8/7/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,22,,,4/2/2019,Cycle Inspection / Initial Inspection
50010938,MEXZZARELLA PIZZA,BRONX,553,SOUNDVIEW AVE,10473,3477266330,Pizza,12/12/2017,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12,A,12/12/2017,4/2/2019,Cycle Inspection / Re-inspection
40842437,LIN HOME CHINESE RESTAURANT,BRONX,2461,UNIVERSITY AVENUE,10468,7183642504,Chinese,5/16/2018,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,5/16/2018,4/2/2019,Cycle Inspection / Initial Inspection
50035041,PAPA RESTAURANT,BRONX,463,E TREMONT AVE,10457,7182993080,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/18/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,6,A,2/18/2016,4/2/2019,Cycle Inspection / Re-inspection
41118203,NATIONAL BAKERY,BRONX,944,INTERVALE AVENUE,10459,7188613671,Bakery,9/19/2016,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,13,A,9/19/2016,4/2/2019,Cycle Inspection / Re-inspection
41585763,NEW FLYING DRAGON,BRONX,1183,MORRISON AVE,10472,7189912688,Chinese,4/9/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8,A,4/9/2016,4/2/2019,Cycle Inspection / Initial Inspection
50013363,KELLY COMMONS MARKETPLACE,BRONX,4513,MANHATTAN COLLEGE PKWY,10471,7188627737,American,11/16/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4,A,11/16/2016,4/2/2019,Cycle Inspection / Re-inspection
41602165,JO JO PIZZA,BRONX,1545A,WESTCHESTER AVENUE,10472,7183786588,Pizza,12/31/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,12/31/2018,4/2/2019,Cycle Inspection / Initial Inspection
41267759,IHOP,BRONX,817,ALLERTON AVENUE,10467,7185150161,Pancakes/Waffles,4/19/2018,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,4/19/2018,4/2/2019,Cycle Inspection / Initial Inspection
50051817,DUNKIN DONUTS,BRONX,555,GRAND CONCOURSE,10451,9178438949,Donuts,10/25/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,A,10/25/2018,4/2/2019,Cycle Inspection / Initial Inspection
50059850,KENNEDY FRIED CHICKEN,BRONX,1708,UNIVERSITY AVE,10453,9292659440,Chicken,3/13/2019,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,26,Z,3/13/2019,4/2/2019,Cycle Inspection / Re-inspection
50054609,CHINA WOK III,BRONX,2459,WEBSTER AVE,10458,7185842488,Chinese,11/30/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,11/30/2017,4/2/2019,Cycle Inspection / Initial Inspection
41678706,TITOS EMPANADAS Y MAS,BRONX,1221,JEROME AVENUE,10452,9178193056,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/26/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,A,8/26/2016,4/2/2019,Cycle Inspection / Re-inspection
50063019,SO BRO CAFE,BRONX,473,E 146TH ST,10455,7186764080,Soul Food,5/3/2018,Violations were cited in the following area(s).,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,18,B,5/3/2018,4/2/2019,Cycle Inspection / Re-inspection
41131950,DUNKIN' DONUTS,BRONX,2200,WHITE PLAINS RD,10467,7189442109,Donuts,2/13/2017,Violations were cited in the following area(s).,02G,Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.,Critical,13,A,2/13/2017,4/2/2019,Cycle Inspection / Initial Inspection
41246054,KENNEDY FRIED CHICKEN,BRONX,220,EAST 170 STREET,10456,7185768551,Chicken,11/13/2015,Establishment Closed by DOHMH.  Violations were cited in the following area(s) and those requiring immediate action were addressed.,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,40,,,4/2/2019,Cycle Inspection / Re-inspection
41658466,FISH N TING RESTAURANT,BRONX,4063,BOSTON ROAD,10466,7188816116,Caribbean,4/11/2018,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,28,,,4/2/2019,Cycle Inspection / Initial Inspection
50044824,SUBWAY,BRONX,91,E 161ST ST,10451,7185889100,Sandwiches,12/7/2017,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,12,A,12/7/2017,4/2/2019,Cycle Inspection / Initial Inspection
41595841,BROTHERS SEAFOOD,BRONX,632,WALTON AVENUE,10451,3476661021,Seafood,3/11/2019,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,27,Z,3/11/2019,4/2/2019,Cycle Inspection / Re-inspection
50051458,SUPER KENNEDY'S CHICKEN & SANDWICH,BRONX,2370,UNIVERSITY AVE,10468,7183651000,Chicken,2/7/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,19,,,4/2/2019,Cycle Inspection / Initial Inspection
